student_uni_id,sprofileid,pcmciiid,coursecode,coursename,l_actual_conducted,t_actual_conducted,p_actual_conducted,s_actual_conducted,,l_attended,t_attended,p_attended,s_attended,,l_absent,t_absent,p_absent,s_absent,l_extra,t_extra,p_extra,s_extra,l_ambigous,t_ambigous,p_ambigous,s_ambigous,lc_considered,tc_considered,pc_considered,sc_considered,le_upper_considered,te_upper_considered,pe_upper_considered,se_upper_considered,l_after_e_considered,t_after_e_considered,p_after_e_considered,s_after_e_considered,attendance_percentage
2300090371,70436,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,10,0,0,,34,9,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,35,10,0,0,4,1,0,0,34,9,0,0,96
2300090258,62957,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,33,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,33,11,0,0,96
2300090055,62744,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,33,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,33,11,0,0,96
2300090183,67745,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,33,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,33,11,0,0,96
2300090168,63255,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,31,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,31,11,0,0,96
2300090111,67882,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,31,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,31,11,0,0,96
2300090061,70515,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,31,11,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,31,11,0,0,96
2300090032,64829,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,36,13,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,36,13,0,0,95
2300090120,65189,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,10,0,0,,33,9,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,35,10,0,0,4,1,0,0,33,9,0,0,94
2300090399,70893,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,32,11,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,32,11,0,0,94
2300090309,67814,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,39,13,0,0,,37,11,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,39,13,0,0,4,2,0,0,37,11,0,0,93
2300090026,67273,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,10,0,0,,31,10,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,35,10,0,0,4,1,0,0,31,10,0,0,92
2300090346,62747,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,31,11,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,31,11,0,0,92
2300090288,68320,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,29,11,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,29,11,0,0,91
2300090137,67431,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,29,11,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,29,11,0,0,91
2300090316,69479,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,30,10,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,30,10,0,0,91
2300090361,64584,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,29,11,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,29,11,0,0,91
2300090050,67517,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,32,8,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,32,8,0,0,91
2300090289,68310,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,29,11,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,29,11,0,0,91
2300090267,68793,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,10,0,0,,31,9,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,34,10,0,0,4,1,0,0,31,9,0,0,91
2300090339,68985,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,32,9,0,0,,3,2,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,32,9,0,0,90
2300090149,67363,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,11,0,0,,30,11,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0,4,2,0,0,30,11,0,0,90
2300090272,67733,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,25,9,0,0,,3,1,0,0,0,0,0,0,5,1,0,0,28,10,0,0,3,1,0,0,25,9,0,0,90
2300090191,67918,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,34,12,0,0,,25,11,0,0,,4,0,0,0,0,0,0,0,5,1,0,0,29,11,0,0,3,2,0,0,25,11,0,0,90
2300090209,67491,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,32,7,0,0,,4,1,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,32,7,0,0,89
2300090045,65383,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,31,8,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,31,8,0,0,89
2300090252,67596,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,29,9,0,0,,4,2,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,29,9,0,0,87
2300090014,64463,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,30,8,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,30,8,0,0,87
2300090182,68304,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,28,10,0,0,,5,1,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,28,10,0,0,87
2300090190,64476,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,35,10,0,0,,30,9,0,0,,5,1,0,0,0,0,0,0,0,0,0,0,35,10,0,0,4,1,0,0,30,9,0,0,87
2300090277,69721,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,26,11,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,26,11,0,0,85
2300090135,65776,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,36,8,0,0,,28,8,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,4,1,0,0,28,8,0,0,82
2300090359,69741,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,27,9,0,0,,6,2,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,27,9,0,0,82
2300090100,68451,68999,23CI2001,ADAPTIVE SOFTWARE ENGINEERING,33,11,0,0,,24,10,0,0,,9,1,0,0,0,0,0,0,0,0,0,0,33,11,0,0,4,2,0,0,24,10,0,0,78
2300090210,69416,69357,23CS06EF,MERN STACK WEB DEVELOPMENT,0,0,48,22,,0,0,44,18,,0,0,4,4,0,0,0,0,0,0,0,0,0,0,48,22,0,0,5,3,0,0,44,18,90
2300090115,67304,68501,23CS2103R,ADVANCED OBJECT ORIENTED PROGRAMMING,18,0,13,31,,15,0,11,28,,3,0,2,3,0,0,0,0,0,0,0,0,18,0,13,31,2,0,2,4,15,0,11,28,86
2300090212,69569,68501,23CS2103R,ADVANCED OBJECT ORIENTED PROGRAMMING,18,0,13,31,,12,0,7,25,,6,0,6,6,0,0,0,0,0,0,0,0,18,0,13,31,2,0,2,4,12,0,7,25,68
2300090324,69400,68501,23CS2103R,ADVANCED OBJECT ORIENTED PROGRAMMING,18,0,13,31,,11,0,9,22,,7,0,4,9,0,0,0,0,0,0,0,0,18,0,13,31,2,0,2,4,11,0,9,22,66
2300090116,65292,68502,23CS2104R,OPERATING SYSTEMS,18,0,16,0,,18,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,0,2,0,2,0,18,0,16,0,100
2300090315,69591,68502,23CS2104R,OPERATING SYSTEMS,18,0,16,0,,18,0,16,0,,0,0,0,0,0,0,0,0,0,0,0,0,18,0,16,0,2,0,2,0,18,0,16,0,100
2300090234,68762,68502,23CS2104R,OPERATING SYSTEMS,18,0,16,0,,16,0,14,0,,2,0,2,0,0,0,0,0,0,0,0,0,18,0,16,0,2,0,2,0,16,0,14,0,89
2300090066,70913,68502,23CS2104R,OPERATING SYSTEMS,18,0,16,0,34,7,0,6,0,13,11,0,10,0,0,0,0,0,0,0,0,0,18,0,16,0,2,0,2,0,7,0,6,0,39
2300090315,69591,68508,23CS2205R,DESIGN AND ANALYSIS OF ALGORTHIMS,21,0,14,31,,21,0,14,28,,0,0,0,3,0,0,0,0,0,0,0,0,21,0,14,31,3,0,2,4,21,0,14,28,98
